OutputID	OutputName	OutputType	OutputTier	BuildingResourceTier	ConstructionTime	PlanetTypes	Factions	ResourceType	ProductionSteps	Ingredient1	Quantity1	Ingredient2	Quantity2	Ingredient3	Quantity3	Ingredient4	Quantity4	Ingredient5	Quantity5	Ingredient6	Quantity6	Ingredient7	Quantity7	Ingredient8	Quantity8
oceanic-central-hub-t1	Central Hub	BUILDING	1			Oceanic Planet	MUD;ONI;USTUR	Infrastructure		Auto-Built															
oceanic-central-hub-t2	Central Hub	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	30	Boron Composite	25	Climate Controller	22	Cobalt	19								
oceanic-central-hub-t3	Central Hub	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	36	Boron Composite	30	Climate Controller	27	Cobalt	23	Aerogel	19						
oceanic-central-hub-t4	Central Hub	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	44	Boron Composite	36	Climate Controller	33	Cobalt	28	Aerogel	23	Beryllium Matrix	17				
oceanic-central-hub-t5	Central Hub	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	53	Boron Composite	44	Climate Controller	40	Cobalt	34	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-cultivation-hub-t1	Cultivation Hub	BUILDING	1			Oceanic Planet	MUD;ONI;USTUR	Infrastructure		Auto-Built															
oceanic-cultivation-hub-t2	Cultivation Hub	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	30	Boron Composite	25	Climate Controller	22	Cobalt	19								
oceanic-cultivation-hub-t3	Cultivation Hub	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	36	Boron Composite	30	Climate Controller	27	Cobalt	23	Aerogel	19						
oceanic-cultivation-hub-t4	Cultivation Hub	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	44	Boron Composite	36	Climate Controller	33	Cobalt	28	Aerogel	23	Beryllium Matrix	17				
oceanic-cultivation-hub-t5	Cultivation Hub	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	53	Boron Composite	44	Climate Controller	40	Cobalt	34	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
oceanic-processing-hub-t1	Processing Hub	BUILDING	1		90	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Chromite Ore	25	Biomass	20	Carbon	15										
oceanic-processing-hub-t2	Processing Hub	BUILDING	2		135	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	24	Boron Composite	21	Climate Controller	18	Cobalt	15								
oceanic-processing-hub-t3	Processing Hub	BUILDING	3		180	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	29	Boron Composite	26	Climate Controller	22	Cobalt	18	Aerogel	19						
oceanic-processing-hub-t4	Processing Hub	BUILDING	4		270	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	35	Boron Composite	32	Climate Controller	27	Cobalt	22	Aerogel	23	Beryllium Matrix	17				
oceanic-processing-hub-t5	Processing Hub	BUILDING	5		360	Oceanic Planet	MUD;ONI;USTUR	Infrastructure	1	Barrier Material	42	Boron Composite	39	Climate Controller	33	Cobalt	27	Aerogel	28	Beryllium Matrix	21	Abyssal Energy Core	21		
